date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:32	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2027%20Nov%202019%2023:51:30%20GMT	https://discord.gg/KGNDq3P	C:/My%20Web%20Sites/DiscordDomain/discord.gg/KGNDq3P.0.delayed	(from )
18:49:33	4981/4981	---MCZ	200	added ('OK')	text/html	etag:W/%22397ad742ae329bd0a355f7451f4bfaa1%22	https://discordapp.com/invite/KGNDq3P	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/invite/KGNDq3P.html	(from )
18:49:33	183/183	---MCZ	200	added ('OK')	text/plain	date:Wed,%2027%20Nov%202019%2023:51:31%20GMT	https://discordapp.com/robots.txt		(from )
18:49:34	13726/13726	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Nov%202019%2023:34:46%20GMT	https://cdn.discordapp.com/splashes/629099856165732352/af0f73519f18f48a1cf521dbc3004b9b.jpg?size=512	C:/My%20Web%20Sites/DiscordDomain/cdn.discordapp.com/splashes/629099856165732352/af0f73519f18f48a1cf521dbc3004b9b5168.jpg	(from https://discordapp.com/invite/KGNDq3P)
18:49:34	1035838/1035838	---MCZ	200	added ('OK')	text/css	etag:W/%22e85c52643ce41d09dc4f2cc9b2ead007%22	https://discordapp.com/assets/0.5ab360d320ff74747671.css	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/0.5ab360d320ff74747671.css	(from https://discordapp.com/invite/KGNDq3P)
18:49:34	20762/20762	---MCZ	200	added ('OK')	application/javascript	etag:W/%22500010f461bedd0e53f818639e28a6d0%22	https://discordapp.com/assets/2c77f4cfb841d7cd44e2.js	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/2c77f4cfb841d7cd44e2.js	(from https://discordapp.com/invite/KGNDq3P)
18:49:34	261677/261677	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a2a7f2b6b2faea9ca3d194d7b434782%22	https://discordapp.com/assets/62c909130dc579cf3f21.js	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/62c909130dc579cf3f21.js	(from https://discordapp.com/invite/KGNDq3P)
18:49:35	1088/1088	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22da840b1a6c5d073ca1c6710f8967502a%22	https://discordapp.com/assets/da840b1a6c5d073ca1c6710f8967502a.svg	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/da840b1a6c5d073ca1c6710f8967502a.svg	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
18:49:35	5055475/5055475	---MCZ	200	added ('OK')	application/javascript	etag:W/%220a5952c2556f77a4d805e04e64cba23a%22	https://discordapp.com/assets/acb53416fe259af055fe.js	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/acb53416fe259af055fe.js	(from https://discordapp.com/invite/KGNDq3P)
18:49:35	31465/31465	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229c3d15a94528df326eb741af39b9f0a9%22	https://discordapp.com/assets/9c3d15a94528df326eb741af39b9f0a9.svg	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/9c3d15a94528df326eb741af39b9f0a9.svg	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
18:49:35	31561/31561	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e9baf4b505eb54129f832556ea16538e%22	https://discordapp.com/assets/e9baf4b505eb54129f832556ea16538e.svg	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/e9baf4b505eb54129f832556ea16538e.svg	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
18:49:36	16225/16225	---M--	200	added ('OK')	image/png	etag:%228eba753f8b6d02be1013c5e659b0fc2f%22	https://discordapp.com/assets/8eba753f8b6d02be1013c5e659b0fc2f.png	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/8eba753f8b6d02be1013c5e659b0fc2f.png	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
18:49:36	2060/2060	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229fefebe24085efe085629513732efd08%22	https://discordapp.com/assets/9fefebe24085efe085629513732efd08.svg	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/9fefebe24085efe085629513732efd08.svg	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
18:49:36	2216/2216	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ec92991091f67ad3984517478f7a16e4%22	https://discordapp.com/assets/ec92991091f67ad3984517478f7a16e4.svg	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/ec92991091f67ad3984517478f7a16e4.svg	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
18:49:36	5333/5333	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ad409a997b726652a95dba012336127%22	https://discordapp.com/assets/5ad409a997b726652a95dba012336127.svg	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/5ad409a997b726652a95dba012336127.svg	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
18:49:36	2059/2059	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2213bb78e752946d8de8634202877a82c2%22	https://discordapp.com/assets/13bb78e752946d8de8634202877a82c2.svg	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/13bb78e752946d8de8634202877a82c2.svg	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
18:49:37	2184/2184	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2235bdb177438e5bcf42c06716e31b113b%22	https://discordapp.com/assets/35bdb177438e5bcf42c06716e31b113b.svg	C:/My%20Web%20Sites/DiscordDomain/discordapp.com/assets/35bdb177438e5bcf42c06716e31b113b.svg	(from https://discordapp.com/assets/0.5ab360d320ff74747671.css)
